grammatical_error,punctuation_mark,uppercase_letter,passive_sentence,positive_sentiment,negative_sentiment,positive_emotion,negative_emotion,modal_verb,strong_modal,weak_modal,avg_word_length,avg_sentence_length,log_word_count,fog_index,emotiveness
9,2.875,0.055,0.25,0.043,0.014,0.0,0.0,0.077,0.115,0.038,5.067,13.0,5.338,5.244,0.5
10,5.0,0.033,0.143,0.125,0.0,0.0,0.0,0.0,0.0,0.0,6.4,11.429,4.382,4.667,0.395
1,3.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.314,17.5,3.555,7.08,0.333
3,1.0,0.046,1.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,4.606,33.0,3.497,13.248,0.25
13,6.714,0.045,0.143,0.073,0.01,0.0,0.0,0.0,0.0,0.0,6.26,13.714,4.564,5.556,0.25
4,5.0,0.207,0.5,0.097,0.0,0.0,0.0,0.0,0.0,0.0,5.613,15.5,3.434,6.239,0.5
5,5.25,0.043,0.25,0.052,0.01,0.0,0.0,0.143,0.286,0.0,5.125,24.0,4.564,9.625,0.316
2,2.0,0.086,0.167,0.055,0.0,0.0,0.0,0.25,0.25,0.0,4.747,15.167,4.511,6.102,0.222
1,1.5,0.046,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,5.571,17.5,3.555,7.046,0.15
3,4.0,0.233,0.143,0.111,0.0,0.0,0.0,0.0,0.067,0.0,5.698,18.0,4.836,7.27,0.51
5,3.75,0.185,0.125,0.064,0.0,0.0,0.0,0.182,0.0,0.273,4.818,13.75,4.7,5.558,0.476
5,2.0,0.154,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,5.85,8.0,3.689,3.26,0.238
10,6.0,0.052,0.5,0.077,0.0,0.0,0.0,0.1,0.0,0.1,5.897,39.0,4.357,15.667,0.212
6,10.5,0.132,1.0,0.076,0.011,0.0,0.0,0.0,0.0,0.0,5.37,46.0,4.522,18.457,0.227
3,10.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.708,24.0,3.178,9.65,0.308
14,6.8,0.476,0.0,0.043,0.0,0.0,0.0,0.063,0.0,0.125,5.043,18.6,4.533,7.457,0.268
11,7.273,0.095,0.182,0.067,0.006,0.0,0.0,0.111,0.056,0.056,5.279,16.273,5.187,6.563,0.222
11,19.0,0.936,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,6.936,47.0,3.85,18.817,0.167
7,4.0,0.915,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,4.935,6.2,3.434,2.493,0.333
9,3.5,0.058,0.125,0.12,0.0,0.0,0.0,0.1,0.2,0.0,5.5,12.5,4.605,5.044,0.313
4,3.8,0.016,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,5.75,20.0,4.605,8.076,0.463
4,11.5,0.18,0.5,0.102,0.0,0.0,0.0,0.0,0.0,0.0,5.559,29.5,4.078,11.861,0.281
2,2.4,0.996,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,5.512,8.2,3.714,3.348,0.227
5,5.9,0.12,0.2,0.024,0.008,0.0,0.0,0.067,0.067,0.0,4.911,12.4,4.82,5.015,0.241
8,2.833,0.049,0.167,0.047,0.0,0.0,0.0,0.053,0.105,0.0,5.083,16.083,5.263,6.497,0.431
4,2.6,0.039,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0,5.245,10.2,4.625,4.147,0.304
3,8.0,0.099,1.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,6.238,21.0,3.045,8.438,0.444
10,3.125,0.25,0.125,0.049,0.0,0.0,0.0,0.0,0.0,0.0,5.815,10.125,4.394,4.085,0.351
1,1,0.029,0.0,0.0,0.0,0.0,0.0,0,0,0,6.8,5.0,1.609,2.0,0.0
13,41.875,0.35,0.125,0.093,0.0,0.0,0.0,0.056,0.0,0.056,6.079,17.5,4.942,7.086,0.275
